customer_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,Repaid
39,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,0.4,4,Yes
40,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,0.42,4,Yes
41,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,0.41,2,Yes
42,24,12000,OWN,4.0,VENTURE,B,2500,12.69,0.21,3,Yes
43,26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0.07,4,No
44,23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0.08,2,No
45,26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0.03,4,No
46,26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0.08,3,No
47,25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0.06,3,No
48,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,0.37,3,Yes
49,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,0.38,3,Yes
50,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,0.34,3,Yes
51,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,0.38,4,Yes
52,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,0.38,3,Yes
53,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,0.33,3,Yes
54,23,97000,RENT,7.0,VENTURE,B,30000,10.65,0.31,2,Yes
55,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0.25,4,No
56,26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0.04,3,No
57,26,277104,RENT,0.0,VENTURE,B,20000,11.48,0.07,3,No
58,23,277000,OWN,3.0,PERSONAL,A,35000,,0.13,4,No
59,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0.23,4,No
60,24,12000,OWN,2.0,VENTURE,E,1750,,0.15,3,No
61,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0.23,4,No
62,22,275000,OWN,6.0,VENTURE,B,12000,11.58,0.04,2,No
63,26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,0.04,4,Yes
64,25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,0.1,2,Yes
65,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,0.42,3,Yes
66,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0.13,3,No
67,26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0.11,3,No
68,25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0.08,2,No
69,24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0.04,2,No
70,25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0.1,4,No
71,25,12000,OWN,0.0,MEDICAL,C,3000,,0.25,3,Yes
72,22,56950,RENT,6.0,MEDICAL,A,28000,,0.49,2,Yes
73,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,0.25,3,Yes
74,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,0.43,2,Yes
75,26,85000,RENT,2.0,VENTURE,A,28000,7.49,0.33,3,Yes
76,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,0.51,3,Yes
77,22,88000,RENT,6.0,VENTURE,B,28000,9.91,0.32,3,Yes
78,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,0.35,4,Yes
79,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,0.4,2,Yes
80,24,83004,RENT,0.0,VENTURE,D,28000,15.99,0.34,4,Yes
81,24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0.07,3,No
82,144,250000,RENT,4.0,VENTURE,C,4800,13.57,0.02,3,No
83,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0.28,3,No
84,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0.25,2,No
85,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,0.23,4,Yes
86,22,108000,RENT,6.0,EDUCATION,B,28000,,0.26,4,Yes
87,23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0.19,2,No
88,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,0.4,2,Yes
89,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,0.27,3,Yes
90,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,0.39,3,Yes
91,22,240000,OWN,6.0,PERSONAL,B,25000,,0.1,2,No
92,26,73200,RENT,5.0,VENTURE,D,27050,15.62,0.37,2,Yes
93,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,0.33,2,Yes
94,24,73399,RENT,0.0,VENTURE,D,27000,,0.37,3,Yes
95,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,0.42,2,Yes
96,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0.21,3,No
97,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0.13,3,No
98,22,60000,RENT,0.0,VENTURE,B,25475,10.99,0.42,3,Yes
99,25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0.09,4,No
100,24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0.09,4,No
101,26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0.09,3,No
102,25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,0.05,3,Yes
103,26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0.11,2,No
104,25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0.15,4,No
105,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,0.3,3,Yes
106,22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,0.16,4,Yes
107,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0.14,3,No
108,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,0.59,3,Yes
109,24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,0.61,3,Yes
110,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,0.23,4,Yes
111,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,0.28,3,Yes
112,26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0.09,4,No
113,25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0.13,2,No
114,26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,0.16,2,Yes
115,24,225000,RENT,0.0,MEDICAL,B,6000,,0.03,4,No
116,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,0.35,4,Yes
117,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,0.18,2,Yes
118,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,0.6,2,Yes
119,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,0.52,4,Yes
120,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,0.28,3,Yes
121,22,12996,OWN,1.0,EDUCATION,B,4750,,0.37,3,Yes
122,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,0.59,3,Yes
123,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,0.51,2,Yes
124,25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0.11,2,No
125,26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0.01,4,No
126,23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0.03,2,No
127,26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0.11,2,No
128,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,0.51,3,Yes
129,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,0.5,3,Yes
130,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,0.5,2,Yes
131,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,0.57,2,Yes
132,23,50000,RENT,1.0,VENTURE,B,25000,11.83,0.5,4,Yes
133,22,50004,RENT,0.0,VENTURE,B,25000,10.36,0.5,2,Yes
134,22,50004,RENT,3.0,VENTURE,C,25000,12.23,0.5,3,Yes
135,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,0.48,4,Yes
136,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,0.38,4,Yes
137,24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0.11,2,No
138,23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0.1,3,No
139,25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0.12,3,No
140,26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0.09,2,No
141,23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0.16,3,No
142,26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0.06,2,No
143,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,0.48,2,Yes
144,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,0.54,4,Yes
145,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,0.47,4,Yes
146,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,0.53,2,Yes
147,23,47000,RENT,1.0,VENTURE,E,25000,17.93,0.53,2,Yes
148,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0.11,4,No
149,21,13200,OWN,0.0,VENTURE,C,4500,12.98,0.34,4,Yes
150,22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0.08,4,No
151,26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0.1,4,No
152,26,48000,RENT,5.0,VENTURE,F,25000,18.43,0.52,2,Yes
153,22,54996,RENT,6.0,EDUCATION,B,25000,,0.45,4,Yes
154,24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,0.45,4,Yes
155,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,0.45,3,Yes
156,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,0.45,3,Yes
157,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,0.45,4,Yes
158,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,0.45,2,Yes
159,24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0.1,3,No
160,23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,0.12,3,Yes
161,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,0.56,4,Yes
162,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,0.42,3,Yes
163,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,0.42,3,Yes
164,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,0.46,2,Yes
165,23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,0.29,3,Yes
166,24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0.06,2,No
167,24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0.06,2,No
168,21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0.08,4,No
169,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,0.46,4,Yes
170,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,0.42,3,Yes
171,23,60000,RENT,7.0,PERSONAL,B,25000,10.25,0.42,4,Yes
172,21,60000,RENT,6.0,EDUCATION,B,25000,10.99,0.42,4,Yes
173,25,61959,RENT,9.0,MEDICAL,C,25000,12.73,0.4,2,Yes
174,22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,0.44,3,Yes
175,23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0.14,2,No
176,21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0.13,2,No
177,24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0.12,4,No
178,26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0.07,3,No
179,25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0.08,2,No
180,24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0.05,4,No
181,24,66000,RENT,3.0,EDUCATION,B,25000,9.91,0.38,2,Yes
182,22,66000,RENT,6.0,EDUCATION,C,25000,13.06,0.38,3,Yes
183,22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0.04,4,No
184,144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0.03,2,No
185,25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0.09,3,No
186,25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0.06,2,No
187,25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0.12,3,No
188,24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0.1,3,No
189,24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,0.42,2,Yes
190,21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,0.21,4,Yes
191,26,66996,RENT,10.0,PERSONAL,D,25000,15.21,0.37,2,Yes
192,23,67000,RENT,3.0,EDUCATION,A,25000,7.9,0.37,4,Yes
193,24,67000,RENT,2.0,VENTURE,B,25000,10.99,0.37,3,Yes
194,24,68000,RENT,5.0,PERSONAL,D,25000,14.09,0.37,3,Yes
195,25,69000,RENT,9.0,PERSONAL,D,25000,17.49,0.36,2,Yes
196,25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0.06,3,No
197,26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,0.11,2,Yes
198,26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0.01,3,No
199,25,69996,RENT,9.0,EDUCATION,D,25000,15.21,0.36,3,Yes
200,22,14400,OWN,2.0,MEDICAL,B,4000,10.99,0.28,3,Yes
201,24,70000,RENT,3.0,EDUCATION,B,25000,11.86,0.36,4,Yes
202,24,14400,OWN,5.0,PERSONAL,A,6000,7.49,0.42,3,Yes
203,24,56100,RENT,7.0,MEDICAL,D,25000,16.49,0.38,4,Yes
204,25,66000,RENT,9.0,VENTURE,D,25000,15.33,0.38,2,Yes
205,26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,0.38,4,Yes
206,25,14400,OWN,7.0,EDUCATION,A,5375,5.79,0.37,2,Yes
207,25,72612,RENT,9.0,MEDICAL,C,25000,13.11,0.34,2,Yes
208,23,74000,RENT,3.0,MEDICAL,B,25000,10.36,0.34,3,Yes
209,25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,0.33,2,Yes
210,24,192000,RENT,0.0,MEDICAL,C,22000,,0.11,2,No
211,21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0.1,4,No
212,25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0.05,4,No
213,26,190300,MORTGAGE,5.0,PERSONAL,A,15000,,0.08,3,No
214,22,190000,MORTGAGE,3.0,VENTURE,C,10000,,0.05,3,No
215,24,75000,RENT,4.0,EDUCATION,B,25000,10.25,0.33,4,Yes
216,22,71000,RENT,1.0,EDUCATION,D,25000,15.95,0.35,4,Yes
217,26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0.11,4,No
218,23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0.13,3,No
219,23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,,0.32,2,Yes
220,23,78000,RENT,1.0,VENTURE,B,25000,10.62,0.32,3,Yes
221,23,78504,RENT,7.0,VENTURE,B,25000,10.74,0.32,3,Yes
222,25,186000,OWN,9.0,VENTURE,B,10000,10.25,0.05,4,No
223,24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0.19,2,No
224,25,185000,RENT,6.0,VENTURE,C,15000,15.27,0.08,2,No
225,24,62050,RENT,8.0,MEDICAL,D,25000,15.33,0.34,2,Yes
226,23,79416,RENT,7.0,VENTURE,D,25000,15.21,0.31,2,Yes
227,21,14400,OWN,4.0,VENTURE,C,6250,14.72,0.43,2,Yes
228,24,79631,RENT,8.0,PERSONAL,D,25000,15.7,0.31,2,Yes
229,24,79632,RENT,0.0,EDUCATION,C,25000,13.35,0.31,4,Yes
230,21,14400,MORTGAGE,0.0,MEDICAL,C,1500,,0.1,4,No
231,24,80000,RENT,6.0,EDUCATION,A,25000,6.62,0.31,2,Yes
232,26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,0.31,4,Yes
233,22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0.14,2,No
234,26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0.03,2,No
235,24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0.12,4,No
236,23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0.01,2,No
237,24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,0.12,4,Yes
238,24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0.11,3,No
239,22,183000,MORTGAGE,3.0,EDUCATION,A,1000,,0.01,2,No
240,25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0.08,3,No
241,23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,0.34,4,Yes
242,26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,,0.34,4,Yes
243,25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,0.31,3,Yes
244,23,81600,RENT,1.0,MEDICAL,B,25000,11.36,0.31,3,Yes
245,24,82000,RENT,8.0,VENTURE,B,25000,10.25,0.3,2,No
246,24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0.3,3,No
247,24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0.3,3,No
248,24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0.1,4,No
249,23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0.16,3,No
250,23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,0.28,2,Yes
251,22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0.15,4,No
252,22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0.3,4,No
253,24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0.29,4,No
254,24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0.08,2,No
255,26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0.07,4,No
256,25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,0.06,4,Yes
257,23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,,0.41,4,Yes
258,24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0.29,3,No
259,24,75000,RENT,0.0,VENTURE,E,25000,14.7,0.33,3,Yes
260,23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,0.33,4,Yes
261,23,66215,RENT,1.0,MEDICAL,D,25000,15.37,0.32,2,Yes
262,25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0.28,4,No
263,21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,0.41,2,Yes
264,26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0.14,4,No
265,24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0.12,3,No
266,25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0.11,4,No
267,26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0.06,4,No
268,25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0.06,2,No
269,23,15000,OWN,7.0,MEDICAL,B,4475,,0.3,4,Yes
270,23,78000,RENT,2.0,VENTURE,D,25000,16.32,0.32,3,Yes
271,25,66300,RENT,3.0,MEDICAL,E,25000,17.93,0.32,4,Yes
272,23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0.28,3,No
273,24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,0.32,4,Yes
274,24,91800,RENT,4.0,PERSONAL,C,25000,13.43,0.27,3,No
275,25,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0.27,3,No
276,24,92000,RENT,1.0,VENTURE,C,25000,12.73,0.27,4,No
277,23,93600,RENT,3.0,VENTURE,D,25000,15.21,0.27,4,No
278,23,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0.12,3,No
279,23,70550,RENT,3.0,MEDICAL,F,25000,19.04,0.3,4,Yes
280,25,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,0.3,3,Yes
281,26,175000,MORTGAGE,3.0,VENTURE,A,2600,8.9,0.01,4,No
282,25,175000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,7.9,0.05,2,No
283,22,175000,MORTGAGE,6.0,EDUCATION,B,18000,,0.1,2,No
284,23,175000,MORTGAGE,8.0,PERSONAL,B,21000,11.99,0.12,3,No
285,23,15000,OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,0.27,4,Yes
286,23,15000,OWN,4.0,VENTURE,B,4600,10.99,0.31,2,Yes
287,22,88000,RENT,6.0,DEBTCONSOLIDATION,D,25000,15.58,0.28,2,Yes
288,25,74800,RENT,2.0,MEDICAL,B,25000,10.99,0.28,2,Yes
289,25,88000,RENT,0.0,VENTURE,D,25000,14.96,0.28,4,Yes
290,25,15000,OWN,2.0,HOMEIMPROVEMENT,D,1750,15.31,0.12,4,No
291,26,88000,RENT,2.0,VENTURE,D,25000,15.65,0.28,3,Yes
292,25,100000,RENT,1.0,VENTURE,B,25000,9.33,0.25,4,No
293,23,15000,MORTGAGE,0.0,PERSONAL,C,3600,13.47,0.24,4,Yes
294,24,102400,RENT,8.0,PERSONAL,B,25000,10.36,0.24,3,No
295,24,92000,RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,0.27,4,Yes
296,23,93000,RENT,0.0,DEBTCONSOLIDATION,D,25000,14.59,0.27,2,Yes
297,22,175000,RENT,6.0,VENTURE,C,3500,11.91,0.02,2,No
298,23,175000,MORTGAGE,3.0,EDUCATION,A,7200,8.38,0.04,3,No
299,25,174708,RENT,9.0,VENTURE,B,9000,10.59,0.05,3,No
300,25,174000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,8800,14.27,0.05,3,No
301,26,174000,RENT,8.0,DEBTCONSOLIDATION,B,12000,12.53,0.07,4,No
302,25,162000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,25000,16.0,0.15,3,Yes
303,26,173467,MORTGAGE,10.0,VENTURE,B,10000,11.71,0.06,4,No
304,21,15000,OWN,0.0,HOMEIMPROVEMENT,C,3175,11.54,0.21,3,Yes
305,25,96000,RENT,2.0,HOMEIMPROVEMENT,E,25000,15.68,0.26,4,Yes
306,21,15120,MORTGAGE,0.0,EDUCATION,B,1500,10.59,0.1,2,No
307,24,97908,RENT,8.0,HOMEIMPROVEMENT,D,25000,12.61,0.26,2,Yes
308,26,110000,RENT,3.0,PERSONAL,C,25000,,0.23,2,No
309,23,15204,MORTGAGE,7.0,PERSONAL,A,2800,8.49,0.18,3,Yes
310,25,159600,RENT,0.0,PERSONAL,D,30000,17.27,0.19,4,Yes
311,24,171500,RENT,6.0,DEBTCONSOLIDATION,A,18000,8.9,0.1,4,No
312,25,170004,MORTGAGE,3.0,MEDICAL,B,10000,11.11,0.06,4,No
313,24,158004,RENT,0.0,HOMEIMPROVEMENT,D,25000,14.59,0.16,2,Yes
314,26,170000,RENT,0.0,VENTURE,B,13000,12.42,0.08,3,No
315,24,83300,RENT,0.0,MEDICAL,D,25000,,0.26,2,Yes
316,24,110000,RENT,7.0,HOMEIMPROVEMENT,D,25000,15.7,0.23,2,No
317,22,15360,OWN,7.0,HOMEIMPROVEMENT,B,2500,12.53,0.16,3,Yes
318,25,134300,RENT,3.0,MEDICAL,D,5000,16.49,0.03,2,Yes
319,25,170000,MORTGAGE,2.0,EDUCATION,A,20000,7.49,0.12,2,No
320,22,100580,RENT,6.0,DEBTCONSOLIDATION,D,25000,14.96,0.25,2,Yes
321,25,113000,RENT,7.0,MEDICAL,C,25000,12.73,0.22,4,No
322,24,120000,RENT,8.0,EDUCATION,B,25000,10.65,0.21,4,No
323,25,120000,RENT,6.0,MEDICAL,B,25000,10.74,0.21,2,No
324,23,120000,RENT,7.0,EDUCATION,B,25000,9.99,0.21,2,No
325,24,91800,RENT,5.0,MEDICAL,D,25000,15.33,0.23,2,Yes
